"","species","std_length","sword_presence","sword_pigmentation","false_gravid_spot","atro","carbo","cb","sword_residuals","upper_sword_edge_width_residuals","upper_sword_edge_length_residuals","lower_sword_edge_width_residuals","lower_sword_edge_length_residuals","dorsal_fin_length_residuals","dorsal_fin_height_residuals","body_depth_residuals","peduncle_depth_residuals","caudal_fin_height_residuals","caudal_fin_length_residuals","peduncle_edge_residuals","lower_edge_2_peduncle_residuals","vertical_bars_residuals","label","tactic","PC1","PC2"
"1","Xcle",34.4064,1,1,0,0,0,0,2.96503785329805,0.23337263698838,-0.476437642970205,0.177959412979655,13.754402521789,-1.01438486927579,-0.996389762024597,-1.56589397699354,-0.20945203208979,-1.64560743038198,0.446914174187246,-0.459893072073931,9.27341940502471,-0.678876811541853,"","courter",-11.5182078463272,4.80020257623815
"2","Xalv",43.6265,1,1,0,0,0,0,17.5470460541594,1.05456212228891,21.2502732145025,0.545921043949088,24.6149965086277,0.77186229323982,-0.0894085400399322,-2.04417917316511,-0.864252774765775,-0.422635945357011,0.628644161313515,-1.06847406989546,22.668557059234,-0.879021821035286,"","courter",-42.9770529857303,-0.893782111988504
"3","Xsig",38.241,1,1,0,0,0,0,7.6933688634848,0.912007814517193,6.01201575277006,0.44698594958071,24.6597415530285,-1.8763024168748,-1.58896587900571,-1.39888215100895,-0.517213518176202,-0.352513726791264,-0.221513504619449,9.17858533984715,12.7645785029554,-0.762116261591583,"","courter",-24.387326540792,5.34480641346483
"4","Xmay",44.2436,1,1.4,0,0,0,0,10.484213781272,0.106798936572805,18.2588620139891,0.31874734545029,25.4162465936895,2.24897065692225,-0.439527157832935,-1.25999542836381,0.00396745079518844,1.0446051239816,3.21421277066218,5.68232564011249,16.9114374820507,-0.892417498452927,"","courter",-29.1009166118585,7.84870363727265
"5","Xhel",63.978,1,1,0,0,0,0,20.6296222951795,0.816130759298671,27.0252434182807,0.66031808657058,42.6547522469762,-0.857167258724217,0.791632409539889,-1.13852135056945,0.563050580450509,-2.53143918203714,1.48709208411264,12.5409267698823,28.4823538911165,-1.32080132024957,"","courter",-93.1768217965251,-19.872041111321
"6","Xpyg",25.6592,0.2,0,0,0,0,0,-1.11007545507977,-0.0513477679769437,-1.25496265815282,-0.0486216022388164,-3.3694567944522,1.44637001841995,0.523638488759639,-0.479727379239502,0.0696641289426703,0.572485647370935,0.715040766806535,4.99439553045147,-2.47944070591762,-0.488997262834036,"Xpyg","sneaker",11.7319667507592,0.46259785956971
"7","Xnig_small",25.9516,0.2,0,0,0,0,0,-0.0811926752908414,-0.0548603518424251,-1.36323793773493,0.0328294276735992,0.747441868442095,2.06885938082595,0.751371264901798,0.65602910590051,1.20485002094401,0.187100699509339,1.25356363404612,5.6561639880861,0.172970403516203,-0.495344525963056,"Xnig small","sneaker",11.6834365051634,6.03398816876743
"8","Xnig_large",31.2574,0.8,0.6,0,0,0,0,2.33524758806097,-0.118598612695611,-3.327967686048,0.285318328184181,16.9030502322742,3.31990513682375,2.1276536303432,1.73735249460051,2.03962343332671,-0.0283476464689628,2.01997754991412,4.88530845634116,9.28665735438481,-0.610520000347309,"Xnig large","courter",-4.90690467868329,12.9656223870524
"9","Xmul_small",28.6548,1,1,0,0,0,0.8,0.332546621307715,-0.0443337331870538,-1.79062882612874,0.186166582458967,12.6842040624771,0.981757207282518,1.21602858524203,-0.608905331067743,1.00017841785926,2.89606666715822,2.05313810299979,2.16187812857143,7.98454615940372,-0.154024148707131,"Xmul small","sneaker",-13.7786905003266,-3.9031120668325
"10","Xmul_large",39.4172,1,0.8,0,0,0,1,18.857616215016,-0.0618218063534611,1.09087066438267,0.453223505610064,33.7447581306491,1.86070164626452,2.38515700505176,1.55968425740994,3.32147090785654,5.41046884614031,2.20799099759397,3.46021317797931,27.6406617687422,9.01235141661514,"Xmul large","courter",-48.2818574608655,9.27777996484954
"11","Xcon",22.5532,0,0,0,0,0,0,-0.328641782112585,-0.0140355741117407,-0.104815536463277,-0.0172963591059934,-1.40322986883544,0.00478493075566565,0.00271317173657328,-0.113899071595452,-0.262915421522985,-2.37968764928393,-0.142983671107825,6.78362771440107,-1.08589524046432,-0.421573872687877,"Xcon","sneaker",13.2806883020123,1.88845537598699
"12","Xmon",35.0554,1,1,0,0,0.2,0,29.2519340368925,1.78477623846342,35.8824386345647,0.785213990316035,44.3489585827274,1.64036545973069,1.55786855437848,0.0547853624588155,0.0762990072702263,-0.148241599883262,0.997295777602062,5.24095100797008,36.5948374967571,-0.692964957132599,"Xmon","courter",-62.3495866797746,-1.89920878966903
"13","Xnez",35.7416,1,1,0.4,0.2,0.2,0,9.50248534842175,0.204932958543815,15.4377398081309,0.265093390883407,14.233565499547,0.55866942855079,0.910444173355054,0.622056429842798,1.49238942823917,-0.453658806526994,0.502496295727251,-4.15739141463977,15.949565346598,2.69213937953247,"Xnez","courter",-29.684642993594,-6.65192007374196
"14","Xcor",28.0484,1,0,0.2,0,0.2,0.4,3.41140066486448,0.102750914063384,5.97452018050118,0.11368236720969,8.32768043327364,1.38724411096583,2.31146266372149,1.19132198565967,0.893654734857849,0.927181552189933,0.668558805140401,-2.01365372064073,7.85881504873112,1.05913925882173,"Xcor","courter",-4.5650751012949,2.17976514774596
"15","Xbir",51.5858,0.2,0.2,0.2,0,0.4,0,-9.12468298423331,-0.362802476755299,-10.8555435870634,-0.310101656523249,-19.7820707705293,3.20636243755609,4.70207335171206,3.30726867969023,2.21838378544713,4.45762084152808,1.43022985632052,-8.71242973045889,-14.111731711913,2.74820194290859,"Xbir","courter",27.9531512784392,19.5172946735066
"16","Xmal",34.57,1,0.4,0,0,0,0,3.43178567400074,0.0378073198871738,10.3017815234469,0.135909442027778,19.209036930987,0.466073611194874,1.48781859015344,0.0678545899315853,0.964457721437635,-0.940150034589081,0.922055422752213,8.03034263130851,8.51981823369562,3.51757184698103,"Xmal","courter",-23.6222433463727,-5.55978327299832
"17","Xmac",24.2696,0,0,0.8,0,0,0,-0.870547653420012,-0.0346545855574053,-0.740395871192168,-0.0346069345448786,-2.48978231414407,0.394592118285279,1.45971473456284,1.06669775157253,0.96802529335765,0.86961329288555,1.09471485601265,-3.14161188654262,-1.85597941203677,1.34116743225518,"","ambiguous",13.0718248796598,1.6223912326692
"18","Xand",26.352,0.4,0,1,0,0,0,-0.416007911174956,-0.05967033330528,-1.51150545464558,-0.0556087652917525,-3.80802795158912,-1.09277939924463,-1.54619411277495,0.144484156003319,-0.267204592060998,0.612390805105156,-0.752845681813211,4.07950711543529,-2.79027402802517,-0.50403619544616,"","ambiguous",14.7340865361288,3.8399511616953
"19","Xxip",26.3366,0.8,0,1,0,0,0,-0.273145786717874,-0.0594853340182471,-1.50580285784133,-0.0554534501777005,-3.79827911235715,-0.108254830780375,0.293358401751083,0.927689730999365,0.282566739208426,-0.633428045110068,-0.845576092741698,-3.56315223561661,-2.78336462681204,1.89629809953396,"","ambiguous",13.8790595167961,3.87991198867619
"20","Xmil",25.541,0,0,1,0,0,0,-1.27195707125983,-0.0499278383842627,-1.21119337618769,-0.0474295083114823,-3.29463128813928,-0.738837514536237,-0.881305198449674,0.415156969106772,-0.242994873911496,0.677912394420321,-0.231329010579646,4.98570103081942,-2.42640880829477,1.71356855967571,"","ambiguous",16.68389576172,5.9187902550199
"21","Xeve",27.5412,0,0,1,0,0,0,-1.90346495041918,-0.0739561224052476,-1.95186442345215,-0.0676023194236112,-4.56084091357993,0.217674054152142,-0.344257117603075,0.257393910204766,0.0201027361469082,0.631075004841785,-0.913170053491332,-3.80881624359654,-3.32382337365204,-0.529850714300575,"","ambiguous",13.7016482832391,2.55771394421517
"22","Xcou",24.4234,0,0,0,0,0.2,0,-0.919105753517356,-0.0365021758395908,-0.797347779535971,-0.0361580686059952,-2.58714409816205,-0.966997403130443,-0.274779858560742,0.277904411676955,-0.171246833216202,0.24865869308694,-0.719535975104143,-3.17297758837502,-1.92498369168478,-0.462171176052766,"","ambiguous",15.5171927026809,4.27365376255113
"23","Xgor",25.7916,0,0,1,0,0,0,-1.35107709651597,-0.0529382813277978,-1.30399017872967,-0.0499569088037828,-3.45327149018679,0.204989962272736,-0.0321870257368663,0.16715715780748,0.041998917249706,-0.00378086116831024,-1.57518868728881,-3.45200589297252,-2.53884360985388,-0.491871331364413,"","ambiguous",15.189762677501,4.00961682228861
"24","Xmey",22.4866,0,0,0,0,0,0,-0.307614672447545,-0.013235512260027,-0.0801536567773387,-0.0166246716647037,-1.36106930436471,0.40448728528289,-0.289112966741771,-0.272116519989176,-0.194600443435738,0.659459401083996,-0.63137882486349,-2.77798999858958,-1.05601432352962,-0.420128155436191,"","ambiguous",13.1695180484881,1.92866879065861
"25","Xvar",32.1922,0,0,0.8,0,0.6,0.4,-3.37188968093121,-0.129828309677321,-3.67412271803621,-0.114509500946715,-7.5051169699365,0.892198214720909,0.796452943399591,1.71624785133404,0.400519506660676,-0.751289128209796,0.204968987313462,-4.75733301357387,-5.4105522725005,-0.630812139789881,"","ambiguous",17.6950315475563,6.83819819650498
"26","Gamb",25.1212,0,0,0,0,0,0,-1.13941682144926,-0.0448848058715093,-1.05574206849765,-0.0431956586440131,-3.02888046284182,-1.60775090146523,0.963823736487131,-0.196044304702316,-0.272745207229423,-2.39985860040766,-0.885548913682173,-3.31528569460813,-2.23806032587452,-0.477318645996098,"","ambiguous",9.74915204409047,-1.77088602044969
